customer_id,signup_date,plan,acquisition_channel,region,company_size,annual_contract,first_30_logins,key_feature_events_30,support_tickets_30,payment_failures_30,onboarding_score_30,duration_days_since_signup,churn_observed,study_end_date
R00022,2024-08-02,Starter,Organic,Europe,1-10,0,3,3,0,0,34.9,188,1,2025-06-30
R00023,2024-01-08,Growth,Organic,North America,51-200,0,6,5,1,0,58.5,502,1,2025-06-30
R00024,2024-03-31,Growth,Organic,LATAM,1-10,0,12,4,1,0,53.9,456,0,2025-06-30
R00025,2024-09-06,Starter,Partner,Europe,51-200,1,7,4,0,0,51.9,158,1,2025-06-30
R00026,2024-01-02,Starter,Paid Search,LATAM,1-10,0,7,3,2,1,56.0,172,1,2025-06-30
R00027,2024-04-13,Growth,Paid Search,North America,11-50,0,7,1,1,0,37.8,105,1,2025-06-30
R00028,2024-04-25,Scale,Partner,Europe,201+,0,12,3,2,0,40.1,431,0,2025-06-30
R00029,2024-07-10,Starter,Partner,North America,1-10,0,1,1,3,0,39.9,228,1,2025-06-30
R00030,2024-04-03,Starter,Organic,North America,11-50,0,8,5,2,0,64.3,453,0,2025-06-30
R00031,2024-05-18,Scale,Paid Search,Europe,1-10,0,9,4,0,0,61.2,27,1,2025-06-30
R00032,2024-11-10,Growth,Outbound,North America,1-10,0,8,3,2,0,52.1,232,0,2025-06-30
R00033,2024-11-24,Growth,Outbound,North America,201+,0,2,2,0,0,53.8,61,1,2025-06-30
R00034,2024-03-26,Growth,Organic,APAC,1-10,0,10,2,2,0,56.1,358,1,2025-06-30
R00035,2024-12-16,Growth,Outbound,APAC,1-10,0,7,0,1,0,57.8,196,0,2025-06-30
R00036,2024-10-12,Starter,Outbound,Europe,11-50,0,10,1,2,0,47.3,160,1,2025-06-30
R00037,2024-11-02,Starter,Organic,Europe,11-50,0,3,2,1,0,48.7,240,0,2025-06-30
R00038,2024-07-26,Growth,Paid Search,North America,51-200,0,8,2,2,1,35.2,339,0,2025-06-30
R00039,2024-10-23,Starter,Paid Search,Europe,11-50,0,5,4,3,0,45.2,13,1,2025-06-30
R00040,2024-01-27,Starter,Paid Search,North America,1-10,0,4,3,2,0,39.3,136,1,2025-06-30
R00041,2024-02-26,Starter,Paid Search,Europe,11-50,0,6,2,1,0,38.4,311,1,2025-06-30
R00042,2024-04-19,Starter,Paid Search,APAC,51-200,0,7,3,2,0,52.9,356,1,2025-06-30
R00043,2024-11-24,Starter,Outbound,North America,11-50,1,8,2,2,0,59.2,160,1,2025-06-30
R00044,2024-11-02,Growth,Paid Search,APAC,1-10,0,5,0,2,0,32.0,240,0,2025-06-30
R00045,2024-06-04,Scale,Paid Search,LATAM,51-200,1,13,6,1,0,88.3,391,0,2025-06-30
R00046,2024-01-21,Growth,Paid Search,North America,1-10,0,9,4,0,0,71.1,526,0,2025-06-30
R00047,2024-08-24,Starter,Paid Search,Europe,11-50,0,2,2,4,0,14.1,206,1,2025-06-30
R00048,2024-08-20,Starter,Paid Search,Europe,11-50,0,3,2,2,0,43.0,156,1,2025-06-30
R00049,2024-09-28,Starter,Partner,Europe,1-10,0,8,4,1,0,63.2,275,0,2025-06-30
R00050,2024-06-11,Starter,Paid Search,North America,11-50,0,3,2,0,0,49.1,384,0,2025-06-30
R00051,2024-12-06,Growth,Organic,North America,1-10,0,8,1,0,0,54.0,206,0,2025-06-30
R00052,2024-09-30,Growth,Paid Search,North America,11-50,0,17,2,1,1,57.0,273,0,2025-06-30
R00053,2024-09-08,Starter,Organic,North America,1-10,0,7,3,1,0,57.6,35,1,2025-06-30
R00054,2024-05-07,Starter,Organic,Europe,11-50,0,8,5,1,0,60.3,81,1,2025-06-30
R00055,2024-12-14,Growth,Partner,LATAM,11-50,0,11,5,1,0,77.1,198,0,2025-06-30
R00056,2024-05-06,Starter,Paid Search,North America,11-50,0,3,1,1,0,37.7,49,1,2025-06-30
R00057,2024-09-14,Growth,Partner,Europe,51-200,0,16,4,0,1,59.9,289,0,2025-06-30
R00058,2024-01-11,Starter,Paid Search,North America,1-10,0,3,1,1,0,47.7,261,1,2025-06-30
R00059,2024-10-20,Starter,Organic,LATAM,11-50,0,7,4,3,0,42.6,253,0,2025-06-30
R00060,2024-01-17,Scale,Organic,North America,11-50,1,14,6,1,0,78.2,530,0,2025-06-30
R00061,2024-06-29,Growth,Paid Search,APAC,1-10,0,10,3,0,0,63.8,366,0,2025-06-30
R00062,2024-07-24,Scale,Outbound,Europe,51-200,1,13,1,1,0,62.5,341,0,2025-06-30
R00063,2024-11-24,Growth,Organic,North America,1-10,1,12,3,1,0,66.6,218,0,2025-06-30
R00064,2024-03-24,Starter,Paid Search,APAC,11-50,0,3,2,1,0,40.7,70,1,2025-06-30
R00065,2024-08-02,Growth,Organic,APAC,1-10,0,7,4,0,0,59.6,332,0,2025-06-30
R00066,2024-07-27,Starter,Partner,North America,201+,0,7,3,1,0,57.9,171,1,2025-06-30
R00067,2024-09-14,Scale,Organic,LATAM,1-10,0,12,6,0,0,62.2,289,0,2025-06-30
R00068,2024-07-28,Growth,Partner,North America,1-10,0,12,2,0,0,61.3,337,0,2025-06-30
R00069,2024-11-06,Scale,Paid Search,APAC,1-10,0,14,6,2,0,88.8,236,0,2025-06-30
R00070,2024-12-04,Starter,Organic,North America,1-10,0,7,2,2,0,44.3,208,0,2025-06-30
R00071,2024-01-03,Growth,Organic,North America,51-200,0,10,2,0,1,72.0,544,0,2025-06-30
R00072,2024-11-12,Growth,Organic,Europe,51-200,0,6,4,1,0,53.7,230,0,2025-06-30
R00073,2024-03-25,Starter,Organic,North America,201+,0,3,1,1,0,36.1,438,1,2025-06-30
R00074,2024-10-21,Growth,Partner,Europe,51-200,0,11,3,0,0,68.3,252,0,2025-06-30
R00075,2024-11-12,Starter,Paid Search,Europe,1-10,0,5,4,0,0,87.0,144,1,2025-06-30
R00076,2024-02-15,Starter,Paid Search,Europe,1-10,0,3,1,1,0,27.5,410,1,2025-06-30
R00077,2024-01-10,Growth,Paid Search,North America,11-50,0,7,2,0,1,55.2,45,1,2025-06-30
R00078,2024-06-14,Starter,Organic,LATAM,51-200,1,13,2,2,0,63.2,283,1,2025-06-30
R00079,2024-05-30,Starter,Paid Search,Europe,201+,0,2,2,2,0,36.0,40,1,2025-06-30
R00080,2024-02-29,Starter,Organic,Europe,1-10,0,6,2,2,0,38.6,203,1,2025-06-30
R00081,2024-03-21,Growth,Paid Search,North America,51-200,0,8,5,0,1,61.6,322,1,2025-06-30
R00082,2024-03-16,Growth,Partner,North America,1-10,0,10,5,2,0,64.1,63,1,2025-06-30
R00083,2024-11-21,Starter,Organic,Europe,1-10,0,7,3,4,0,13.0,4,1,2025-06-30
R00084,2024-03-13,Starter,Organic,North America,51-200,0,8,2,2,0,43.7,296,1,2025-06-30
R00085,2024-09-05,Starter,Paid Search,North America,51-200,1,3,4,1,0,48.2,298,0,2025-06-30
R00086,2024-01-29,Scale,Outbound,Europe,11-50,0,6,3,1,0,51.3,518,0,2025-06-30
R00087,2024-02-10,Growth,Outbound,North America,51-200,0,6,1,1,0,43.9,506,0,2025-06-30
R00088,2024-07-23,Starter,Outbound,Europe,51-200,1,8,1,2,0,60.3,342,0,2025-06-30
R00089,2024-09-27,Growth,Partner,APAC,51-200,0,7,5,1,0,57.9,276,0,2025-06-30
R00090,2024-01-25,Starter,Organic,North America,51-200,0,7,3,1,0,53.3,223,1,2025-06-30
R00091,2024-11-08,Growth,Organic,Europe,201+,0,12,3,2,0,60.5,234,0,2025-06-30
R00092,2024-06-05,Starter,Paid Search,LATAM,1-10,0,8,1,1,0,53.8,225,1,2025-06-30
R00093,2024-06-24,Starter,Organic,North America,51-200,0,7,4,4,0,37.6,58,1,2025-06-30
R00094,2024-07-27,Starter,Paid Search,North America,1-10,0,12,1,0,0,65.6,338,0,2025-06-30
R00095,2024-12-26,Scale,Paid Search,Europe,11-50,0,10,3,1,1,57.9,186,0,2025-06-30
R00096,2024-03-02,Starter,Organic,Europe,11-50,1,10,4,1,0,76.0,202,1,2025-06-30
R00097,2024-06-03,Starter,Partner,Europe,1-10,0,6,1,0,0,51.1,337,1,2025-06-30
R00098,2024-08-10,Growth,Organic,North America,11-50,0,7,0,1,0,57.3,59,1,2025-06-30
R00099,2024-01-18,Growth,Partner,North America,51-200,0,12,3,0,0,56.0,529,0,2025-06-30
R00100,2024-05-05,Starter,Organic,APAC,11-50,1,3,3,3,0,58.0,215,1,2025-06-30
R00101,2024-08-16,Scale,Paid Search,Europe,51-200,0,10,5,0,0,86.3,318,0,2025-06-30
R00102,2024-03-30,Starter,Organic,APAC,1-10,0,7,4,2,1,58.0,36,1,2025-06-30
R00103,2024-09-04,Scale,Paid Search,North America,11-50,0,9,1,0,0,43.5,299,0,2025-06-30
R00104,2024-10-10,Starter,Organic,Europe,11-50,0,3,3,3,1,25.5,124,1,2025-06-30
R00105,2024-08-15,Starter,Organic,North America,51-200,0,5,2,1,0,53.2,209,1,2025-06-30
R00106,2024-06-19,Growth,Paid Search,North America,11-50,0,11,7,0,1,65.4,40,1,2025-06-30
R00107,2024-08-28,Growth,Paid Search,North America,201+,0,9,3,2,0,52.4,42,1,2025-06-30
R00108,2024-12-02,Growth,Paid Search,North America,1-10,1,15,2,1,0,84.5,210,0,2025-06-30
R00109,2024-12-05,Starter,Paid Search,North America,1-10,0,6,0,1,0,33.8,40,1,2025-06-30
R00110,2024-09-23,Growth,Organic,North America,1-10,0,5,1,0,0,44.5,126,1,2025-06-30
R00111,2024-03-03,Growth,Organic,North America,1-10,0,6,1,0,0,36.6,484,0,2025-06-30
R00112,2024-03-09,Scale,Outbound,North America,1-10,1,19,4,2,0,88.6,22,1,2025-06-30
R00113,2024-08-20,Scale,Paid Search,North America,1-10,0,12,7,1,0,83.9,314,0,2025-06-30
R00114,2024-07-02,Starter,Paid Search,Europe,11-50,0,6,6,0,0,68.1,118,1,2025-06-30
R00115,2024-08-08,Starter,Paid Search,Europe,1-10,0,7,6,3,0,47.6,138,1,2025-06-30
R00116,2024-05-30,Growth,Partner,APAC,1-10,0,7,5,0,0,65.1,396,0,2025-06-30
R00117,2024-01-09,Starter,Organic,North America,51-200,0,3,0,2,0,35.3,36,1,2025-06-30
R00118,2024-06-15,Starter,Paid Search,Europe,11-50,0,7,2,0,0,55.3,199,1,2025-06-30
R00119,2024-11-18,Starter,Organic,APAC,51-200,0,6,0,3,0,20.4,126,1,2025-06-30
R00120,2024-03-27,Starter,Partner,Europe,1-10,1,6,1,1,0,55.6,460,0,2025-06-30
R00121,2024-05-23,Starter,Outbound,North America,1-10,0,9,6,2,0,68.3,38,1,2025-06-30
R00122,2024-09-20,Starter,Outbound,Europe,11-50,0,4,0,2,0,29.5,174,1,2025-06-30
R00123,2024-08-18,Scale,Paid Search,APAC,201+,0,7,3,1,0,51.2,316,0,2025-06-30
R00124,2024-10-18,Growth,Paid Search,Europe,51-200,0,4,2,0,1,31.5,41,1,2025-06-30
R00125,2024-04-01,Starter,Outbound,North America,51-200,0,8,1,3,0,28.2,52,1,2025-06-30
R00126,2024-09-21,Starter,Organic,North America,11-50,0,5,2,1,0,42.1,44,1,2025-06-30
R00127,2024-06-16,Growth,Organic,Europe,1-10,0,6,3,0,0,62.5,379,0,2025-06-30
R00128,2024-10-12,Growth,Organic,Europe,11-50,0,9,7,1,0,79.2,261,0,2025-06-30
R00129,2024-12-23,Growth,Partner,North America,1-10,0,10,3,1,0,68.8,189,0,2025-06-30
R00130,2024-03-12,Starter,Outbound,North America,201+,0,5,5,1,0,57.9,159,1,2025-06-30
R00131,2024-06-30,Starter,Organic,Europe,1-10,0,3,2,3,1,26.0,132,1,2025-06-30
R00132,2024-03-11,Growth,Outbound,Europe,1-10,1,7,2,0,0,63.7,74,1,2025-06-30
R00133,2024-05-07,Scale,Organic,North America,51-200,1,10,2,0,0,62.6,18,1,2025-06-30
R00134,2024-07-23,Starter,Organic,Europe,1-10,0,6,3,1,0,46.8,90,1,2025-06-30
R00135,2024-04-10,Starter,Organic,North America,11-50,0,11,2,5,0,37.4,114,1,2025-06-30
R00136,2024-03-24,Starter,Organic,North America,1-10,0,4,4,5,0,36.5,53,1,2025-06-30
R00137,2024-10-13,Starter,Paid Search,North America,11-50,0,1,0,2,0,32.3,49,1,2025-06-30
R00138,2024-07-17,Starter,Paid Search,LATAM,1-10,1,5,3,3,0,33.4,126,1,2025-06-30
R00139,2024-07-26,Growth,Outbound,LATAM,51-200,0,12,9,0,0,91.9,339,0,2025-06-30
R00140,2024-02-02,Starter,Organic,Europe,11-50,0,3,3,2,0,17.8,159,1,2025-06-30
R00141,2024-08-31,Growth,Paid Search,Europe,11-50,0,8,5,3,0,71.3,303,0,2025-06-30
R00142,2024-11-25,Growth,Paid Search,Europe,11-50,1,11,5,1,0,69.2,59,1,2025-06-30
R00143,2024-11-12,Starter,Paid Search,North America,51-200,0,10,3,2,0,65.7,101,1,2025-06-30
R00144,2024-03-26,Starter,Organic,LATAM,11-50,0,2,2,0,0,34.9,140,1,2025-06-30
R00145,2024-03-08,Growth,Organic,North America,1-10,0,8,2,0,0,78.2,479,0,2025-06-30
R00146,2024-08-07,Starter,Partner,LATAM,201+,0,8,3,3,0,66.9,309,1,2025-06-30
R00147,2024-02-07,Starter,Partner,Europe,11-50,0,3,2,2,0,51.1,126,1,2025-06-30
R00148,2024-09-12,Starter,Paid Search,North America,51-200,0,7,4,1,0,50.8,43,1,2025-06-30
R00149,2024-01-27,Growth,Organic,Europe,1-10,0,5,2,0,0,49.0,367,1,2025-06-30
R00150,2024-05-08,Growth,Paid Search,Europe,51-200,0,8,2,0,0,60.8,418,0,2025-06-30
R00151,2024-07-29,Scale,Organic,APAC,11-50,0,11,5,0,0,73.6,336,0,2025-06-30
R00152,2024-03-29,Starter,Organic,North America,11-50,1,7,1,1,1,49.3,425,1,2025-06-30
R00153,2024-10-21,Starter,Paid Search,North America,51-200,0,4,1,1,0,65.9,252,0,2025-06-30
R00154,2024-02-09,Starter,Partner,North America,11-50,0,3,2,0,1,19.5,168,1,2025-06-30
R00155,2024-02-03,Growth,Organic,North America,11-50,1,9,5,4,0,58.2,513,0,2025-06-30
R00156,2024-06-22,Growth,Outbound,North America,11-50,0,8,1,1,0,64.4,95,1,2025-06-30
R00157,2024-09-05,Growth,Paid Search,North America,51-200,0,6,4,0,0,58.1,298,0,2025-06-30
R00158,2024-05-11,Starter,Outbound,Europe,11-50,0,7,2,1,1,47.7,61,1,2025-06-30
R00159,2024-04-27,Starter,Paid Search,LATAM,11-50,1,5,0,2,1,45.5,194,1,2025-06-30
R00160,2024-08-03,Scale,Organic,Europe,11-50,1,9,12,0,0,99.2,331,0,2025-06-30
R00161,2024-10-13,Growth,Paid Search,North America,1-10,0,8,5,1,0,66.6,260,0,2025-06-30
R00162,2024-12-16,Starter,Partner,North America,1-10,0,6,6,1,0,73.2,76,1,2025-06-30
R00163,2024-11-18,Scale,Organic,Europe,201+,1,13,5,1,0,81.0,224,0,2025-06-30
R00164,2024-06-26,Growth,Paid Search,APAC,1-10,1,11,2,0,0,73.5,369,0,2025-06-30
R00165,2024-04-29,Scale,Organic,LATAM,1-10,1,13,2,1,0,64.3,427,0,2025-06-30
R00166,2024-12-07,Growth,Paid Search,North America,11-50,0,11,4,0,0,66.9,205,0,2025-06-30
R00167,2024-08-17,Starter,Paid Search,North America,201+,1,9,7,0,0,96.2,317,0,2025-06-30
R00168,2024-01-29,Starter,Organic,North America,1-10,0,6,2,2,0,26.8,60,1,2025-06-30
R00169,2024-03-15,Growth,Outbound,LATAM,11-50,0,9,3,0,0,72.0,472,0,2025-06-30
R00170,2024-10-05,Starter,Partner,APAC,201+,0,8,2,2,0,41.9,246,1,2025-06-30
R00171,2024-08-18,Starter,Paid Search,Europe,201+,0,10,4,0,0,56.9,316,0,2025-06-30
R00172,2024-02-29,Starter,Paid Search,North America,1-10,1,3,0,0,0,44.1,487,0,2025-06-30
R00173,2024-08-09,Starter,Paid Search,APAC,1-10,1,5,4,0,0,74.5,325,0,2025-06-30
R00174,2024-12-07,Starter,Organic,APAC,11-50,0,5,3,3,0,41.4,205,0,2025-06-30
R00175,2024-12-05,Starter,Paid Search,LATAM,11-50,0,6,2,2,0,28.4,29,1,2025-06-30
R00176,2024-10-06,Starter,Paid Search,Europe,1-10,0,3,3,3,0,50.2,166,1,2025-06-30
R00177,2024-05-01,Growth,Outbound,Europe,11-50,0,13,3,1,0,55.5,425,0,2025-06-30
R00178,2024-01-03,Growth,Outbound,APAC,1-10,0,6,5,1,0,53.9,544,0,2025-06-30
R00179,2024-09-04,Starter,Paid Search,North America,11-50,0,2,2,2,0,37.5,48,1,2025-06-30
R00180,2024-10-24,Growth,Paid Search,APAC,1-10,0,6,6,1,0,72.0,137,1,2025-06-30
R00181,2024-08-16,Growth,Paid Search,LATAM,11-50,0,5,0,4,0,21.7,96,1,2025-06-30
R00182,2024-05-10,Starter,Outbound,North America,1-10,0,4,2,0,1,51.1,92,1,2025-06-30
R00183,2024-04-17,Starter,Paid Search,North America,11-50,0,4,2,0,0,49.3,119,1,2025-06-30
R00184,2024-09-07,Growth,Outbound,APAC,1-10,0,7,0,1,0,41.7,117,1,2025-06-30
R00185,2024-02-04,Starter,Organic,Europe,1-10,1,6,4,0,0,63.6,512,0,2025-06-30
R00186,2024-05-01,Growth,Organic,APAC,51-200,0,12,4,0,0,84.5,425,0,2025-06-30
R00187,2024-06-29,Growth,Organic,North America,51-200,0,9,1,1,0,37.0,366,0,2025-06-30
R00188,2024-08-14,Starter,Organic,LATAM,11-50,0,10,7,2,0,68.7,237,1,2025-06-30
R00189,2024-06-23,Starter,Paid Search,North America,11-50,0,3,1,0,0,38.4,82,1,2025-06-30
R00190,2024-09-27,Starter,Paid Search,Europe,1-10,1,11,3,4,0,72.9,165,1,2025-06-30
R00191,2024-08-31,Growth,Paid Search,Europe,51-200,0,9,1,0,0,52.2,303,0,2025-06-30
R00192,2024-04-24,Starter,Paid Search,APAC,11-50,0,9,4,0,0,70.6,432,0,2025-06-30
R00193,2024-05-21,Starter,Organic,APAC,51-200,0,6,3,1,0,66.2,404,1,2025-06-30
R00194,2024-05-26,Growth,Outbound,North America,1-10,0,15,2,1,1,61.5,400,0,2025-06-30
R00195,2024-10-11,Growth,Paid Search,Europe,1-10,0,5,5,2,0,45.4,262,0,2025-06-30
R00196,2024-08-14,Growth,Paid Search,Europe,11-50,0,14,1,1,0,67.1,320,0,2025-06-30
R00197,2024-06-21,Starter,Organic,APAC,201+,0,6,3,1,0,66.0,40,1,2025-06-30
R00198,2024-12-11,Growth,Paid Search,Europe,11-50,0,11,3,2,0,56.8,201,0,2025-06-30
R00199,2024-11-11,Growth,Outbound,North America,1-10,0,8,3,2,0,57.8,67,1,2025-06-30
R00200,2024-07-25,Starter,Partner,Europe,201+,1,1,2,3,0,34.7,79,1,2025-06-30
R00201,2024-04-23,Starter,Paid Search,North America,51-200,0,6,2,1,0,56.0,249,1,2025-06-30
R00202,2024-09-26,Growth,Paid Search,Europe,1-10,0,4,2,0,1,20.8,71,1,2025-06-30
R00203,2024-04-26,Growth,Outbound,North America,11-50,0,10,2,1,0,67.2,430,0,2025-06-30
R00204,2024-11-25,Starter,Paid Search,LATAM,1-10,0,3,2,0,1,48.1,217,0,2025-06-30
R00205,2024-08-31,Starter,Organic,North America,11-50,1,10,1,2,0,60.6,104,1,2025-06-30
R00206,2024-12-08,Starter,Partner,Europe,1-10,0,4,3,2,0,29.9,42,1,2025-06-30
R00207,2024-06-28,Scale,Outbound,Europe,1-10,0,9,3,0,0,38.8,367,0,2025-06-30
R00208,2024-07-18,Starter,Organic,North America,11-50,0,3,2,4,0,14.5,145,1,2025-06-30
R00209,2024-05-07,Starter,Partner,Europe,11-50,0,8,1,2,0,48.6,8,1,2025-06-30
R00210,2024-11-25,Growth,Paid Search,Europe,1-10,0,13,13,1,0,93.6,217,0,2025-06-30
R00211,2024-11-15,Starter,Paid Search,North America,11-50,0,6,2,2,0,44.0,34,1,2025-06-30
R00212,2024-04-28,Growth,Organic,North America,11-50,0,12,2,0,0,62.0,426,1,2025-06-30
R00213,2024-12-24,Growth,Organic,Europe,1-10,0,10,4,0,0,72.1,188,0,2025-06-30
R00214,2024-07-05,Starter,Partner,Europe,51-200,0,4,2,3,0,19.2,174,1,2025-06-30
R00215,2024-10-08,Scale,Partner,North America,11-50,1,13,5,0,0,75.2,265,0,2025-06-30
R00216,2024-03-28,Starter,Organic,North America,11-50,1,7,2,2,0,55.5,459,0,2025-06-30
R00217,2024-05-11,Starter,Outbound,Europe,1-10,0,8,0,1,0,29.5,415,0,2025-06-30
R00218,2024-10-11,Starter,Partner,Europe,1-10,0,5,0,3,0,19.7,35,1,2025-06-30
R00219,2024-08-02,Growth,Paid Search,Europe,11-50,0,6,2,0,0,51.9,332,0,2025-06-30
R00220,2024-08-05,Starter,Paid Search,LATAM,11-50,0,6,2,3,0,49.4,148,1,2025-06-30
R00221,2024-10-13,Starter,Paid Search,North America,1-10,0,6,2,4,0,27.6,13,1,2025-06-30
R00222,2024-12-26,Scale,Organic,LATAM,1-10,0,13,3,0,0,66.8,186,0,2025-06-30
R00223,2024-07-20,Growth,Organic,North America,11-50,0,13,3,2,0,61.7,303,1,2025-06-30
R00224,2024-08-29,Starter,Paid Search,Europe,51-200,0,2,0,1,0,35.2,86,1,2025-06-30
R00225,2024-08-25,Starter,Paid Search,North America,11-50,0,5,3,2,0,42.2,173,1,2025-06-30
R00226,2024-05-28,Growth,Organic,APAC,51-200,0,9,2,0,0,47.1,376,1,2025-06-30
R00227,2024-03-08,Starter,Paid Search,Europe,11-50,0,8,4,3,0,51.5,398,1,2025-06-30
R00228,2024-06-20,Growth,Paid Search,LATAM,1-10,0,12,4,2,0,57.8,375,0,2025-06-30
R00229,2024-04-17,Growth,Paid Search,North America,11-50,0,10,3,0,1,62.6,439,0,2025-06-30
R00230,2024-01-11,Starter,Organic,North America,1-10,0,7,3,3,0,30.3,491,1,2025-06-30
R00231,2024-03-01,Starter,Organic,North America,1-10,0,6,4,2,0,39.0,35,1,2025-06-30
R00232,2024-01-13,Scale,Organic,Europe,11-50,1,17,6,0,0,92.1,16,1,2025-06-30
R00233,2024-12-12,Starter,Partner,Europe,11-50,0,7,3,1,0,61.3,200,0,2025-06-30
R00234,2024-05-02,Growth,Organic,Europe,1-10,0,6,3,0,1,35.0,155,1,2025-06-30
R00235,2024-09-24,Growth,Paid Search,North America,1-10,1,15,3,1,1,77.6,279,0,2025-06-30
R00236,2024-05-29,Starter,Organic,Europe,11-50,0,6,3,1,0,46.1,52,1,2025-06-30
R00237,2024-04-02,Starter,Organic,Europe,1-10,0,4,0,0,0,51.2,102,1,2025-06-30
R00238,2024-09-11,Starter,Organic,LATAM,11-50,1,7,4,1,1,69.8,292,0,2025-06-30
R00239,2024-06-15,Growth,Organic,APAC,1-10,1,5,1,1,0,64.1,380,0,2025-06-30
R00240,2024-04-14,Starter,Organic,North America,51-200,0,4,3,4,0,21.3,83,1,2025-06-30
R00241,2024-07-31,Starter,Paid Search,North America,51-200,1,8,6,1,0,83.0,266,1,2025-06-30
R00242,2024-08-20,Starter,Organic,Europe,51-200,0,8,2,0,0,77.0,314,0,2025-06-30
R00243,2024-12-08,Growth,Partner,LATAM,11-50,0,7,3,2,0,55.1,204,0,2025-06-30
R00244,2024-07-09,Starter,Paid Search,North America,51-200,0,5,3,1,1,62.4,89,1,2025-06-30
R00245,2024-12-21,Growth,Organic,North America,11-50,0,7,2,0,0,55.8,191,0,2025-06-30
R00246,2024-12-03,Starter,Paid Search,Europe,11-50,0,4,7,2,0,48.6,97,1,2025-06-30
R00247,2024-09-02,Starter,Outbound,Europe,1-10,0,5,1,0,0,60.0,60,1,2025-06-30
R00248,2024-09-24,Scale,Outbound,North America,1-10,1,11,3,1,1,62.8,279,0,2025-06-30
R00249,2024-10-02,Scale,Outbound,Europe,1-10,0,10,3,2,0,50.2,271,0,2025-06-30
R00250,2024-11-18,Growth,Organic,LATAM,11-50,0,11,5,1,0,69.9,224,0,2025-06-30
R00251,2024-04-08,Starter,Partner,North America,51-200,0,8,3,1,2,34.7,374,1,2025-06-30
R00252,2024-08-14,Starter,Organic,Europe,11-50,0,6,3,3,0,32.8,186,1,2025-06-30
R00253,2024-04-06,Growth,Organic,North America,1-10,0,9,2,0,0,55.5,450,0,2025-06-30
R00254,2024-04-04,Starter,Outbound,Europe,1-10,1,7,3,1,0,51.2,452,0,2025-06-30
R00255,2024-10-28,Starter,Organic,Europe,1-10,0,6,6,1,0,40.9,11,1,2025-06-30
R00256,2024-09-14,Starter,Paid Search,Europe,11-50,0,5,2,3,0,35.3,40,1,2025-06-30
R00257,2024-07-12,Starter,Organic,Europe,11-50,0,5,4,1,0,37.2,25,1,2025-06-30
R00258,2024-07-31,Starter,Organic,North America,1-10,0,3,1,4,0,28.0,173,1,2025-06-30
R00259,2024-10-08,Starter,Organic,Europe,1-10,1,11,5,0,0,90.2,156,1,2025-06-30
R00260,2024-02-27,Growth,Organic,North America,1-10,0,5,3,1,0,48.3,489,0,2025-06-30
R00261,2024-04-17,Scale,Outbound,Europe,1-10,0,13,5,0,0,76.8,439,0,2025-06-30
R00262,2024-04-11,Growth,Organic,Europe,1-10,0,9,3,0,0,72.0,445,0,2025-06-30
R00263,2024-07-11,Scale,Organic,North America,51-200,0,12,6,1,0,72.0,354,0,2025-06-30
