customer_id,plan,industry,seats,monthly_fee,login_days_30,support_tickets_30,discount_pct,training_completed,duration_days,churn_observed
S00039,Enterprise,Healthcare,8,214.8,11,2,10,0,197,1
S00040,Pro,Healthcare,4,86.79,16,0,0,1,176,0
S00041,Pro,Manufacturing,3,86.22,15,0,0,0,146,1
S00042,Basic,Manufacturing,2,57.39,9,2,0,1,238,1
S00043,Pro,Retail,2,72.9,13,0,5,1,339,0
S00044,Basic,Manufacturing,7,104.28,8,1,10,0,114,1
S00045,Basic,Retail,5,78.63,6,0,10,0,186,1
S00046,Pro,Manufacturing,5,87.24,16,0,5,0,133,1
S00047,Pro,Healthcare,3,86.79,14,2,5,0,173,1
S00048,Basic,SaaS,2,53.26,5,0,10,0,215,0
S00049,Pro,Manufacturing,3,76.38,16,0,0,0,61,1
S00050,Pro,SaaS,5,105.99,14,1,0,1,257,0
S00051,Pro,Healthcare,3,82.78,11,0,5,1,322,1
S00052,Pro,Retail,7,98.79,13,1,10,1,215,0
S00053,Basic,Retail,3,52.06,10,1,20,0,195,1
S00054,Basic,SaaS,2,52.62,2,1,20,0,97,1
S00055,Basic,SaaS,11,127.21,9,5,0,0,51,1
S00056,Basic,Retail,5,77.01,4,1,5,1,160,1
S00057,Basic,Healthcare,1,45.85,5,0,5,1,134,1
S00058,Pro,Healthcare,4,82.53,12,1,30,1,163,0
S00059,Enterprise,Retail,8,249.44,18,2,0,1,265,0
S00060,Pro,Manufacturing,9,129.64,11,0,10,0,302,1
S00061,Basic,SaaS,1,47.85,3,5,0,0,35,1
S00062,Pro,Retail,14,138.25,12,0,10,1,324,0
S00063,Basic,Healthcare,6,68.43,3,1,0,0,28,1
S00064,Pro,Retail,2,78.3,9,0,20,0,219,0
S00065,Basic,Manufacturing,8,81.67,7,5,5,1,89,1
S00066,Enterprise,Healthcare,9,235.61,14,0,20,0,243,0
S00067,Pro,Retail,4,88.03,13,1,20,1,182,0
S00068,Basic,Retail,4,71.53,4,1,0,1,13,1
S00069,Basic,SaaS,3,67.2,7,2,0,1,197,0
S00070,Basic,Manufacturing,10,115.86,5,2,20,0,22,1
S00071,Pro,SaaS,5,106.55,8,1,5,1,214,0
S00072,Basic,Manufacturing,1,45.09,5,0,0,0,156,1
S00073,Basic,SaaS,4,67.57,7,2,0,0,232,0
S00074,Basic,Retail,4,76.1,6,4,5,0,50,1
S00075,Pro,Healthcare,4,80.03,9,1,10,1,220,0
S00076,Basic,Healthcare,3,66.29,10,0,0,0,297,0
S00077,Pro,SaaS,6,86.36,9,1,10,1,171,0
S00078,Pro,Healthcare,3,77.0,10,2,0,1,69,1
S00079,Basic,SaaS,4,58.87,3,1,0,1,213,0
S00080,Pro,Healthcare,5,100.0,8,0,5,1,196,0
S00081,Pro,Manufacturing,4,77.01,11,1,10,1,167,1
S00082,Basic,Healthcare,2,47.19,4,2,10,0,189,1
S00083,Pro,Healthcare,3,83.2,14,2,0,1,301,0
S00084,Pro,Healthcare,7,127.31,13,2,5,1,65,1
S00085,Enterprise,SaaS,7,209.85,9,0,20,1,346,0
S00086,Pro,Healthcare,5,81.97,10,0,5,1,266,1
S00087,Basic,Healthcare,1,45.47,12,3,0,1,65,1
S00088,Pro,Healthcare,5,107.22,14,0,0,0,23,1
S00089,Pro,Manufacturing,9,128.42,16,2,0,1,193,0
S00090,Pro,Retail,3,82.78,8,4,0,1,280,0
S00091,Basic,Healthcare,5,82.27,11,1,10,0,31,1
S00092,Basic,Retail,1,43.36,9,1,0,1,193,1
S00093,Pro,Retail,5,89.51,13,2,20,0,259,1
S00094,Basic,Manufacturing,8,109.47,10,1,5,0,133,1
S00095,Pro,Manufacturing,7,92.97,15,1,5,1,220,0
S00096,Pro,Retail,3,88.46,14,2,0,0,12,1
S00097,Basic,Healthcare,3,54.87,10,3,0,0,71,1
S00098,Basic,Healthcare,2,54.17,8,2,5,1,320,0
S00099,Pro,Healthcare,7,95.81,9,2,0,1,166,1
S00100,Pro,SaaS,3,77.8,13,1,0,1,11,1
S00101,Basic,Healthcare,1,44.07,9,1,30,1,225,0
S00102,Pro,Manufacturing,2,69.42,12,0,0,0,261,0
S00103,Pro,Healthcare,9,132.09,11,1,0,0,158,0
S00104,Basic,Healthcare,3,57.72,8,2,20,1,174,0
S00105,Basic,Healthcare,2,55.35,6,1,20,1,160,0
S00106,Enterprise,Healthcare,9,224.17,16,0,0,1,150,0
S00107,Basic,SaaS,1,47.24,5,1,30,0,263,0
S00108,Pro,SaaS,8,111.63,20,0,5,1,215,0
S00109,Basic,Retail,4,70.66,12,1,5,0,14,1
S00110,Basic,Healthcare,3,64.79,9,3,0,0,29,1
S00111,Basic,Healthcare,3,66.82,10,2,0,0,90,1
S00112,Basic,SaaS,3,55.67,3,1,5,0,171,0
S00113,Pro,Manufacturing,3,85.34,15,1,20,1,155,0
S00114,Basic,Healthcare,4,57.36,7,3,5,0,194,1
S00115,Enterprise,Retail,5,209.02,18,0,20,0,239,0
S00116,Basic,SaaS,4,61.28,8,0,0,0,140,1
S00117,Basic,Manufacturing,6,67.44,5,2,5,1,309,1
S00118,Basic,Healthcare,5,74.57,8,1,0,0,194,0
S00119,Pro,Manufacturing,3,74.15,14,0,20,1,347,0
S00120,Basic,Retail,6,71.02,6,4,10,0,44,1
S00121,Basic,Manufacturing,3,51.85,5,1,0,0,149,1
S00122,Basic,Retail,2,48.26,6,1,0,0,19,1
S00123,Basic,Manufacturing,4,69.75,9,2,0,0,117,1
S00124,Enterprise,Retail,4,195.7,15,1,5,1,172,0
S00125,Basic,Healthcare,3,62.76,9,3,10,0,25,1
S00126,Enterprise,Manufacturing,19,323.67,9,1,20,0,328,0
S00127,Basic,Healthcare,6,72.12,4,0,0,1,119,1
S00128,Pro,Retail,8,116.51,10,1,10,1,183,1
S00129,Enterprise,Manufacturing,6,203.27,15,0,5,1,230,0
S00130,Pro,Retail,2,70.64,10,0,20,1,61,1
S00131,Enterprise,Manufacturing,7,244.49,17,1,0,1,167,0
S00132,Basic,Retail,2,49.33,7,2,0,0,284,0
S00133,Enterprise,Manufacturing,5,225.46,13,0,0,1,227,0
S00134,Basic,SaaS,2,56.08,16,4,0,1,271,0
S00135,Basic,Retail,3,61.06,4,4,5,1,342,1
S00136,Basic,Healthcare,3,63.03,7,2,0,1,50,1
S00137,Basic,SaaS,2,51.98,6,2,5,1,21,1
S00138,Basic,Healthcare,2,52.19,8,2,5,0,45,1
S00139,Pro,SaaS,6,96.77,17,0,20,0,259,0
S00140,Basic,Manufacturing,9,119.26,12,3,5,1,181,0
S00141,Enterprise,SaaS,8,243.44,15,1,0,1,135,1
S00142,Basic,Retail,4,75.89,10,1,5,1,252,1
S00143,Basic,Retail,5,70.59,2,2,10,0,20,1
S00144,Pro,SaaS,5,94.27,8,0,10,0,18,1
S00145,Pro,Manufacturing,4,77.96,7,1,5,0,335,0
S00146,Basic,SaaS,2,49.89,7,1,10,0,55,1
S00147,Enterprise,SaaS,12,242.76,10,1,10,1,217,1
S00148,Basic,Manufacturing,3,61.54,8,1,0,0,29,1
S00149,Enterprise,Manufacturing,3,200.5,13,1,20,1,200,0
S00150,Basic,Healthcare,3,53.05,8,1,0,0,73,1
S00151,Enterprise,Healthcare,10,223.76,8,0,0,1,123,1
S00152,Pro,SaaS,2,75.26,9,3,0,1,35,1
S00153,Pro,Healthcare,5,91.37,6,1,0,0,237,0
S00154,Pro,Manufacturing,7,118.88,14,1,30,1,203,0
S00155,Basic,Healthcare,4,75.87,2,2,10,0,131,1
S00156,Basic,Healthcare,2,52.39,7,0,10,0,308,0
S00157,Basic,Manufacturing,4,67.76,12,2,30,0,8,1
S00158,Basic,Manufacturing,7,102.96,5,2,0,1,133,1
S00159,Basic,SaaS,3,58.43,8,0,0,0,200,0
S00160,Pro,Manufacturing,2,72.66,6,1,5,0,263,0
S00161,Basic,SaaS,4,57.21,7,2,0,0,316,1
S00162,Pro,Healthcare,6,93.38,16,1,20,0,103,1
S00163,Pro,SaaS,3,81.55,14,0,10,1,359,0
S00164,Basic,SaaS,2,54.07,6,1,0,0,20,1
S00165,Pro,Healthcare,7,107.13,12,1,0,1,205,1
S00166,Basic,Manufacturing,3,52.73,5,0,0,0,269,0
S00167,Basic,Retail,3,67.0,4,0,0,1,193,0
S00168,Basic,Retail,4,76.73,9,1,0,1,42,1
S00169,Basic,SaaS,6,72.46,8,3,0,1,35,1
S00170,Pro,Retail,3,84.0,16,1,20,1,255,1
S00171,Basic,SaaS,3,57.75,8,2,0,1,264,0
S00172,Basic,Manufacturing,2,52.66,12,2,10,0,119,1
S00173,Pro,Manufacturing,8,111.95,14,0,0,1,324,0
S00174,Basic,Manufacturing,5,82.35,5,0,0,0,72,1
S00175,Basic,Manufacturing,3,58.82,8,3,0,0,64,1
S00176,Pro,Manufacturing,3,76.06,8,1,0,0,201,1
S00177,Pro,Manufacturing,2,70.55,11,1,0,1,302,0
S00178,Pro,SaaS,5,102.67,10,1,10,0,95,1
S00179,Enterprise,Healthcare,6,232.71,15,2,30,1,253,0
S00180,Basic,Healthcare,5,70.14,4,5,0,1,39,1
S00181,Basic,Healthcare,11,139.79,7,0,30,0,282,1
S00182,Enterprise,Healthcare,5,219.39,13,2,0,1,182,1
S00183,Basic,Healthcare,4,75.93,9,3,10,0,32,1
S00184,Basic,Manufacturing,3,67.49,3,1,5,1,3,1
S00185,Basic,Manufacturing,6,65.27,2,1,0,0,193,0
S00186,Enterprise,SaaS,5,210.83,13,0,10,0,356,0
S00187,Enterprise,SaaS,12,261.05,10,2,20,0,241,0
S00188,Enterprise,SaaS,9,244.85,11,1,5,0,146,1
S00189,Enterprise,Manufacturing,8,240.56,14,2,20,1,298,0
S00190,Pro,Retail,2,75.35,16,1,5,0,272,0
S00191,Basic,SaaS,3,57.77,10,2,5,1,175,0
S00192,Pro,Manufacturing,4,83.36,20,0,20,1,48,1
S00193,Pro,SaaS,5,104.03,18,0,5,1,170,0
S00194,Pro,Manufacturing,3,83.6,12,1,20,0,364,0
S00195,Pro,Manufacturing,3,84.62,8,1,20,0,3,1
S00196,Pro,SaaS,17,148.32,13,4,0,1,163,0
S00197,Basic,Healthcare,3,61.96,5,2,0,1,289,0
S00198,Pro,Retail,7,108.7,9,1,10,0,29,1
S00199,Pro,Retail,5,98.49,11,0,20,1,232,0
S00200,Enterprise,Retail,10,248.65,10,0,0,0,325,0
S00201,Pro,Manufacturing,2,72.09,14,1,0,1,8,1
S00202,Enterprise,Healthcare,3,206.11,19,1,5,0,185,0
S00203,Basic,Healthcare,1,43.61,5,2,0,0,19,1
S00204,Pro,SaaS,4,87.83,12,0,0,0,312,0
S00205,Enterprise,Manufacturing,6,211.36,20,0,20,1,312,0
S00206,Enterprise,Healthcare,11,235.98,13,1,5,0,229,0
S00207,Pro,Healthcare,2,74.12,11,1,0,0,240,0
S00208,Pro,Healthcare,4,86.09,9,1,0,1,53,1
S00209,Basic,Manufacturing,1,44.18,11,2,0,1,80,1
S00210,Pro,SaaS,3,78.38,12,0,0,1,209,1
S00211,Basic,Manufacturing,2,53.06,7,0,5,1,62,1
S00212,Enterprise,SaaS,8,253.79,20,0,20,0,221,0
S00213,Basic,Healthcare,2,47.55,9,0,10,0,154,0
S00214,Basic,Manufacturing,4,59.56,8,1,10,1,185,0
S00215,Pro,SaaS,5,89.78,9,0,0,1,254,0
S00216,Pro,SaaS,4,85.16,16,1,5,1,195,1
S00217,Enterprise,Manufacturing,10,228.36,10,1,0,1,309,0
S00218,Basic,SaaS,6,73.72,6,1,20,1,288,0
S00219,Pro,Retail,5,81.83,8,1,10,0,286,0
S00220,Pro,Retail,3,87.88,11,0,0,0,208,0
S00221,Basic,SaaS,4,68.78,5,3,0,1,194,0
S00222,Basic,SaaS,10,132.62,2,1,10,1,222,0
S00223,Basic,SaaS,1,44.59,9,1,20,1,293,0
S00224,Pro,Retail,2,78.01,11,2,10,0,212,0
S00225,Pro,Healthcare,4,86.06,21,1,10,1,156,0
S00226,Basic,Manufacturing,3,55.24,5,1,20,0,197,1
S00227,Pro,Healthcare,5,103.32,15,1,0,1,280,0
S00228,Basic,Manufacturing,4,57.16,2,0,0,0,100,1
S00229,Enterprise,Retail,5,219.18,7,0,10,1,196,0
S00230,Basic,SaaS,1,47.85,11,3,10,1,58,1
S00231,Basic,SaaS,5,85.12,9,1,5,1,289,0
S00232,Pro,Healthcare,4,83.84,12,0,10,0,247,1
S00233,Basic,Retail,2,54.74,2,0,0,1,109,1
S00234,Basic,Retail,5,73.08,5,3,5,1,37,1
S00235,Basic,Healthcare,12,131.14,3,4,10,0,78,1
S00236,Pro,Manufacturing,4,97.47,12,0,0,1,66,1
S00237,Pro,Manufacturing,3,78.55,10,0,10,0,71,1
S00238,Enterprise,Retail,6,212.44,9,1,20,0,299,0
S00239,Pro,SaaS,3,78.23,17,2,20,0,187,0
S00240,Pro,SaaS,8,126.8,10,1,5,0,64,1
S00241,Enterprise,Manufacturing,16,304.66,12,1,0,1,102,1
S00242,Enterprise,Retail,8,250.87,12,1,0,1,228,0
S00243,Basic,Healthcare,3,67.43,8,0,0,0,35,1
S00244,Enterprise,Retail,16,246.69,14,0,0,0,34,1
S00245,Basic,Retail,5,68.91,5,1,10,1,156,0
S00246,Basic,Manufacturing,2,51.11,10,0,10,1,364,0
S00247,Basic,Retail,5,82.71,9,1,0,0,57,1
S00248,Basic,Retail,7,78.2,7,2,0,0,37,1
S00249,Basic,Retail,4,69.3,7,2,0,1,278,1
S00250,Pro,Manufacturing,2,77.88,10,2,10,0,118,1
S00251,Pro,Retail,6,96.74,12,1,0,0,314,0
S00252,Basic,Manufacturing,2,53.14,11,3,0,0,54,1
S00253,Basic,Manufacturing,3,57.9,7,2,30,0,175,0
S00254,Enterprise,Manufacturing,18,271.39,12,0,10,1,228,0
S00255,Basic,Healthcare,2,49.25,4,1,5,1,214,0
S00256,Enterprise,Retail,7,212.67,18,0,0,1,51,1
S00257,Basic,Healthcare,5,82.9,6,2,0,0,21,1
S00258,Enterprise,SaaS,2,194.69,16,4,5,0,296,0
S00259,Basic,SaaS,5,70.75,4,6,0,1,43,1
S00260,Basic,Manufacturing,5,70.64,5,0,20,1,220,0
S00261,Basic,Manufacturing,2,53.46,14,0,5,0,195,1
S00262,Pro,Healthcare,4,88.88,7,0,0,0,255,0
S00263,Basic,Healthcare,3,60.2,9,0,20,1,273,0
S00264,Pro,Manufacturing,3,84.53,12,0,5,1,131,1
S00265,Pro,Manufacturing,5,98.04,14,0,0,0,216,0
S00266,Pro,Manufacturing,4,96.4,6,0,0,1,206,1
S00267,Enterprise,Manufacturing,5,201.02,17,1,10,1,159,0
S00268,Basic,Healthcare,6,91.38,6,3,0,1,29,1
S00269,Basic,Retail,3,66.71,4,1,0,1,49,1
S00270,Basic,Healthcare,5,79.37,4,1,0,0,186,0
S00271,Pro,Healthcare,1,67.22,9,2,20,0,186,0
S00272,Pro,SaaS,5,85.31,11,0,0,0,346,0
S00273,Basic,Retail,4,75.85,6,1,10,0,175,1
S00274,Basic,Manufacturing,3,63.35,5,1,0,1,184,0
S00275,Enterprise,Manufacturing,4,196.33,11,1,20,0,282,0
S00276,Basic,Retail,3,56.16,8,1,10,1,222,0
S00277,Basic,Retail,4,61.74,8,2,0,0,22,1
S00278,Basic,Manufacturing,3,53.42,6,1,0,0,167,1
S00279,Enterprise,Retail,12,232.61,14,0,0,1,309,0
S00280,Pro,Manufacturing,6,93.82,13,0,5,0,188,0
S00281,Pro,SaaS,3,75.86,16,4,0,1,201,0
S00282,Basic,Retail,1,44.25,11,4,30,0,3,1
S00283,Pro,SaaS,3,87.59,12,0,30,1,333,0
S00284,Basic,Healthcare,3,51.28,4,2,0,0,2,1
S00285,Pro,Healthcare,2,79.1,11,0,0,1,287,1
S00286,Enterprise,SaaS,4,214.13,10,2,10,0,306,0
S00287,Basic,Manufacturing,6,63.32,8,2,0,0,303,0
S00288,Basic,SaaS,1,48.03,11,2,5,1,13,1
S00289,Basic,Retail,3,56.59,6,2,0,1,160,1
S00290,Pro,Manufacturing,6,89.37,11,2,0,1,107,1
S00291,Pro,Healthcare,6,103.41,13,1,0,1,212,0
S00292,Basic,Healthcare,11,124.87,5,1,0,1,75,1
S00293,Basic,Healthcare,2,56.25,6,3,0,0,131,1
S00294,Pro,Manufacturing,18,207.8,18,1,0,1,297,0
S00295,Pro,SaaS,3,79.59,12,2,0,1,241,0
S00296,Enterprise,SaaS,6,226.67,22,2,0,1,276,0
S00297,Basic,SaaS,4,75.19,7,2,0,0,99,1
S00298,Basic,Retail,4,58.49,4,0,20,0,114,1
S00299,Basic,Retail,11,109.73,2,2,0,0,39,1
S00300,Enterprise,SaaS,5,207.29,14,1,0,1,173,0
S00301,Pro,Retail,2,75.32,15,0,30,0,210,1
S00302,Basic,SaaS,4,57.61,9,0,0,1,264,0
S00303,Enterprise,Healthcare,5,209.69,16,0,0,1,166,0
S00304,Pro,Retail,4,79.01,11,2,5,0,186,0
S00305,Basic,Retail,3,66.15,5,2,0,1,197,0
S00306,Pro,Retail,3,76.27,15,1,30,0,153,0
S00307,Basic,Retail,2,55.68,6,3,10,0,127,1
S00308,Basic,Healthcare,1,46.09,9,0,5,1,6,1
S00309,Pro,Retail,4,78.44,17,1,0,1,337,0
S00310,Pro,Healthcare,2,78.77,11,1,0,0,3,1
S00311,Pro,SaaS,5,105.93,14,0,20,0,207,0
S00312,Pro,Healthcare,4,95.76,10,0,20,0,258,0
S00313,Basic,Healthcare,4,65.38,9,3,0,1,57,1
S00314,Basic,Retail,3,59.79,4,4,0,0,38,1
S00315,Pro,Healthcare,2,79.6,10,0,0,1,300,0
S00316,Enterprise,SaaS,5,207.59,13,1,10,0,327,0
S00317,Basic,Manufacturing,4,56.01,10,1,0,1,178,1
S00318,Basic,Retail,8,111.35,6,4,10,1,266,1
S00319,Pro,Healthcare,2,72.19,11,0,5,0,274,1
S00320,Basic,Healthcare,6,81.52,8,0,5,1,17,1
S00321,Basic,SaaS,4,63.97,4,0,0,0,6,1
S00322,Pro,Healthcare,17,158.74,14,0,20,1,327,0
S00323,Basic,Retail,7,80.54,6,1,20,0,247,0
S00324,Pro,Retail,8,101.79,15,1,5,1,271,0
S00325,Enterprise,Manufacturing,3,198.32,16,1,0,1,227,0
S00326,Pro,Manufacturing,4,83.86,15,3,5,0,250,0
S00327,Pro,Manufacturing,3,80.22,11,0,0,0,203,0
S00328,Pro,Manufacturing,3,84.44,5,0,20,0,354,0
S00329,Basic,Healthcare,4,63.2,6,1,0,1,269,1
S00330,Basic,SaaS,5,81.95,11,1,30,0,356,0
S00331,Basic,Healthcare,3,53.17,7,2,0,0,124,1
S00332,Pro,Healthcare,11,148.45,14,1,0,1,103,1
S00333,Pro,Manufacturing,4,93.29,13,2,20,0,20,1
S00334,Pro,Manufacturing,3,75.84,12,1,0,1,165,1
S00335,Basic,Retail,2,50.25,5,2,0,0,143,1
S00336,Basic,Retail,4,74.25,3,3,20,1,174,1
S00337,Basic,SaaS,2,57.02,4,1,5,0,259,0
S00338,Basic,SaaS,5,78.1,11,1,0,1,152,0
S00339,Pro,SaaS,3,76.65,13,1,0,1,279,0
S00340,Basic,Retail,4,72.63,9,1,5,0,12,1
S00341,Basic,Healthcare,4,76.35,7,0,0,0,262,1
S00342,Pro,Manufacturing,5,81.62,5,0,20,1,285,0
S00343,Pro,Manufacturing,2,75.34,13,3,0,1,296,1
S00344,Enterprise,SaaS,6,210.29,16,1,10,1,247,0
S00345,Enterprise,SaaS,4,216.88,19,0,5,1,258,0
S00346,Basic,Manufacturing,7,69.69,5,3,0,0,42,1
S00347,Pro,Healthcare,11,153.78,10,1,5,1,97,1
S00348,Pro,Healthcare,6,112.51,13,0,5,1,213,0
S00349,Pro,Healthcare,7,123.95,12,1,0,1,104,1
S00350,Basic,Healthcare,1,47.48,3,2,20,0,330,0
S00351,Basic,Retail,6,75.58,6,2,0,0,42,1
S00352,Basic,Manufacturing,2,54.91,3,2,0,0,14,1
S00353,Pro,Manufacturing,4,78.4,16,2,5,1,308,0
S00354,Pro,Retail,3,83.68,16,1,0,0,112,1
S00355,Pro,Retail,5,95.87,19,1,20,1,55,1
S00356,Pro,Healthcare,9,127.33,14,1,10,1,361,0
S00357,Pro,Retail,10,102.85,13,0,5,0,337,0
S00358,Basic,SaaS,6,67.76,3,1,20,0,128,1
S00359,Basic,Healthcare,4,71.51,10,1,30,0,287,1
S00360,Basic,Manufacturing,2,50.24,4,1,10,0,54,1
S00361,Enterprise,Manufacturing,14,271.15,10,0,0,1,273,0
S00362,Pro,Retail,6,110.62,13,3,5,1,185,0
S00363,Pro,Manufacturing,1,69.68,20,1,0,1,142,1
S00364,Pro,SaaS,6,96.22,16,1,5,0,306,0
S00365,Basic,Healthcare,1,45.54,9,4,5,0,96,1
S00366,Pro,SaaS,3,73.94,14,0,0,1,338,0
S00367,Basic,Manufacturing,5,68.87,6,0,0,0,6,1
S00368,Basic,SaaS,9,110.08,9,3,0,1,36,1
S00369,Pro,SaaS,12,124.91,8,0,0,0,305,0
S00370,Basic,Healthcare,5,62.5,7,0,10,0,89,1
S00371,Basic,Healthcare,4,63.46,3,4,5,0,8,1
S00372,Basic,Healthcare,5,76.23,9,0,5,0,298,0
S00373,Enterprise,Manufacturing,6,211.83,13,0,10,0,341,0
S00374,Basic,Healthcare,2,53.37,3,2,0,1,87,1
S00375,Basic,Retail,2,51.59,5,1,10,0,56,1
S00376,Pro,Manufacturing,4,91.22,17,0,0,1,309,0
S00377,Pro,Healthcare,3,88.72,9,1,5,1,237,0
S00378,Pro,Healthcare,1,69.88,9,0,5,0,56,1
S00379,Basic,Manufacturing,3,53.71,8,0,10,0,57,1
S00380,Enterprise,Retail,5,220.99,12,1,10,0,5,1
S00381,Pro,Manufacturing,8,105.92,15,0,20,1,360,0
S00382,Enterprise,Retail,10,225.56,16,0,0,1,305,0
S00383,Pro,Manufacturing,4,97.6,9,0,0,1,341,0
S00384,Enterprise,Retail,4,209.45,16,2,20,0,332,0
S00385,Pro,Retail,2,75.18,11,0,5,1,307,0
S00386,Pro,SaaS,4,80.25,10,1,0,0,344,0
S00387,Enterprise,Healthcare,18,317.5,10,3,0,1,317,0
S00388,Basic,SaaS,2,56.13,3,2,0,0,228,0
S00389,Basic,Retail,2,51.49,6,2,10,0,49,1
S00390,Basic,SaaS,5,70.48,4,0,0,0,95,1
S00391,Enterprise,Manufacturing,6,220.22,18,3,0,0,296,0
S00392,Basic,Retail,6,82.84,7,3,20,0,52,1
S00393,Basic,SaaS,5,68.37,6,2,5,0,45,1
S00394,Basic,Manufacturing,4,75.95,7,3,0,0,12,1
S00395,Pro,Manufacturing,2,78.12,11,3,0,1,125,1
S00396,Basic,Retail,3,56.83,8,2,20,1,180,0
S00397,Pro,Healthcare,3,82.17,20,0,0,1,321,0
S00398,Pro,Manufacturing,3,73.56,11,3,0,0,135,1
S00399,Enterprise,Retail,4,214.45,13,0,0,1,234,0
S00400,Enterprise,Healthcare,3,194.84,8,1,5,1,332,0
S00401,Basic,Healthcare,4,76.6,7,0,10,0,234,1
S00402,Pro,Healthcare,9,128.99,12,3,0,0,23,1
S00403,Basic,Manufacturing,3,55.33,8,0,30,1,33,1
S00404,Pro,SaaS,3,88.69,14,1,0,1,149,1
S00405,Pro,SaaS,3,75.3,12,3,30,1,223,1
S00406,Basic,SaaS,2,48.01,10,4,10,1,56,1
S00407,Basic,Manufacturing,1,46.24,10,0,5,0,171,0
S00408,Basic,SaaS,4,76.34,6,1,0,1,305,1
S00409,Basic,SaaS,5,60.1,6,1,0,0,11,1
S00410,Basic,Manufacturing,4,76.77,8,3,0,1,254,0
S00411,Pro,Healthcare,4,87.62,21,0,20,0,365,0
S00412,Enterprise,Healthcare,23,327.06,13,1,5,1,163,0
S00413,Basic,Manufacturing,4,59.45,5,1,10,0,159,1
S00414,Pro,Retail,4,83.87,13,2,0,1,80,1
S00415,Basic,SaaS,2,48.87,10,2,10,0,93,1
S00416,Enterprise,SaaS,8,211.93,10,0,30,1,302,0
S00417,Basic,Manufacturing,3,63.68,7,1,0,0,72,1
S00418,Enterprise,SaaS,2,194.27,10,0,0,1,174,0
S00419,Basic,Healthcare,5,85.31,4,2,0,0,69,1
S00420,Enterprise,Manufacturing,14,275.62,13,0,10,1,247,0
S00421,Pro,Retail,6,99.33,17,0,30,1,322,0
S00422,Enterprise,Manufacturing,6,221.4,12,1,0,1,72,1
S00423,Basic,Healthcare,2,52.26,8,1,0,0,172,0
S00424,Basic,Healthcare,8,83.9,6,0,5,1,174,0
S00425,Basic,Retail,4,60.28,2,1,10,1,195,0
S00426,Basic,SaaS,3,64.79,8,1,0,0,328,1
S00427,Pro,Healthcare,2,74.86,14,2,0,1,361,0
S00428,Basic,Manufacturing,9,107.1,8,1,10,0,228,0
S00429,Enterprise,Retail,8,248.63,17,1,0,1,345,0
S00430,Pro,Retail,3,76.43,9,1,0,1,266,1
S00431,Pro,Retail,6,89.19,9,1,10,1,25,1
S00432,Basic,Healthcare,2,48.91,12,1,0,0,20,1
S00433,Basic,Manufacturing,6,78.45,4,0,20,0,280,0
S00434,Basic,Manufacturing,5,80.57,5,1,0,1,140,1
S00435,Basic,Manufacturing,2,51.08,6,1,20,0,157,1
